projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,789,789,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,789,789,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,CRITICAL,789,789,,OPEN,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,22min,22min,
testi,2017-06-05T16:38:04+0000,aee060f15cb8f50943d542d768c7bf14,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,888,888,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,aee060f15cb8f50943d542d768c7bf14,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,888,888,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,b870521d6dbf23cddc48e578d5598396,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,940,940,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,f8ba93c0d0cc1c68b1f80fc953d19be5,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,109,109,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,e09ed2e9ecabe714968df8bfdd0a5bac,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,124,124,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,48d8ac41fa008c13d5383740d13f3bcf,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/Option.java,INFO,216,216,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,a42a428b6b3d1bad8d9a8eab9067280a,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,537,537,,OPEN,Remove the declaration of thrown exception 'java.lang.IndexOutOfBoundsException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,089cc650392430d43cef354a18751905,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/Option.java,INFO,713,713,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,4dd2cb4666557e9bb827655c2ff4ca6c,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/OptionBuilder.java,INFO,295,295,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,d3ed9415e281544f08f2208f4faf4ee8,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/OptionBuilder.java,MINOR,337,337,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,9e85e82cc16bde75911f3f88a355e3dd,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/OptionBuilder.java,MINOR,369,369,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,f1fd4b840a512899e150c6361532fb89,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/OptionValidator.java,MINOR,44,44,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,8472ec2e982f6b88a6efc7a63e8daca7,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/Parser.java,CRITICAL,144,144,,OPEN,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,20min,20min,
testi,2017-06-05T16:38:04+0000,4cf78cda22e449231166697ff3d1e65d,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/Parser.java,CRITICAL,253,253,,OPEN,Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.,13min,13min,
testi,2017-06-05T16:38:04+0000,ea8329a11001da4afe3aa6df40015c77,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/PosixParser.java,CRITICAL,95,95,,OPEN,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,19min,19min,
testi,2017-06-05T16:38:04+0000,7710f07dce1ef46e19ced2eef0a691e3,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/test/java/org/apache/commons/cli/OptionTest.java,MINOR,34,34,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,5ac33ed962e7f62383fcabff525eb4d1,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/test/java/org/apache/commons/cli/OptionTest.java,MINOR,89,89,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,eeea4f61fdb814cf0a00481f7a249e11,CODE_SMELL,squid:S00107,testi:src/test/java/org/apache/commons/cli/OptionTest.java,MAJOR,211,211,,OPEN,"Method has 10 parameters, which is greater than 7 authorized.",20min,20min,
testi,2017-06-05T16:38:04+0000,,CODE_SMELL,common-java:DuplicatedBlocks,testi:src/test/java/org/apache/commons/cli/ParserTestCase.java,MAJOR,,OPEN,20 duplicated blocks of code must be removed.,3h30min,3h30min,
testi,2017-06-05T16:37:32+0000,e969080d9458dad4e83c94b4aa37d739,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/CommandLine.java,MINOR,227,227,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,53bf2e34cd6e1e9b36a980f3efd48b03,CODE_SMELL,squid:S3027,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,MAJOR,354,354,,OPEN,"Put single-quotes around '=' to use the faster ""indexOf(char)"" method.",5min,5min,
testi,2017-06-05T16:37:32+0000,53bf2e34cd6e1e9b36a980f3efd48b03,CODE_SMELL,squid:S3027,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,MAJOR,376,376,,OPEN,"Put single-quotes around '=' to use the faster ""indexOf(char)"" method.",5min,5min,
testi,2017-06-05T16:37:32+0000,06077313f100bab673632eb19ac393e7,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/GnuParser.java,MINOR,52,52,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,9267d2d818dc45a992bc6065c0e35216,CODE_SMELL,squid:S106,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,488,488,,OPEN,Replace this use of System.out or System.err by a logger.,10min,10min,
testi,2017-06-05T16:37:32+0000,8bd9e8e4e78b7a01cc362c75d773f4ce,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,580,580,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,c886e0b41b0301fcb3b854b1869ca091,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MINOR,583,583,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,1211482bfa5a1af1f47e3d23a5fd8a11,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MINOR,585,585,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,f5ffe94ffa56dd0d7544b74829874451,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MINOR,649,649,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,e5193b92ed7308a7bda0369e32dc530e,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,739,739,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,e9c3d5ac9830c6f58f80cd4cc0f0ea23,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,767,767,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,2a351bed2f8bf7e1c082793998739d02,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MINOR,799,799,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,c9e04d5a169be5287db1f4d55b15f3b7,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,810,810,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,090a5fbd1bae75e60ce157c8e488cae4,CODE_SMELL,squid:S2293,testi:src/main/java/org/apache/commons/cli/Options.java,MINOR,276,276,,OPEN,"Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)",1min,1min,
testi,2017-06-05T16:37:32+0000,2132e32ba07b848f5d5a8ed1539380a0,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/ApplicationTest.java,CRITICAL,78,78,,OPEN,"Define a constant instead of duplicating this literal ""version"" 4 times.",10min,10min,
testi,2017-06-05T16:37:32+0000,95d49d004d1708d37afbee5a7a34bf7f,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,CRITICAL,38,38,,OPEN,"Define a constant instead of duplicating this literal ""property"" 3 times.",8min,8min,
testi,2017-06-05T16:37:32+0000,d4b541297787f74bc90d53a00d4f151f,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,60,60,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,583642aeb3afd3a6cd0a232d320e5c4c,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,61,61,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,fbe6db5308730ab7518d2eed36009f6e,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,122,122,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,6aa86383306e2f0f10f189575b62dbe1,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,123,123,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,fbe6db5308730ab7518d2eed36009f6e,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,137,137,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,6aa86383306e2f0f10f189575b62dbe1,CODE_SMELL,squid:S00117,testi:src/test/java/org/apache/commons/cli/CommandLineTest.java,MINOR,138,138,,OPEN,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2min,2min,
testi,2017-06-05T16:37:32+0000,7d933e126d4137da636d9a331d06fcb1,CODE_SMELL,squid:S1192,testi:src/test/java/org/apache/commons/cli/HelpFormatterTest.java,CRITICAL,42,42,,OPEN,"Define a constant instead of duplicating this literal ""This is a test."" 3 times.",8min,8min,
testi,2017-06-05T16:37:32+0000,e5193b92ed7308a7bda0369e32dc530e,CODE_SMELL,squid:S1149,testi:src/test/java/org/apache/commons/cli/HelpFormatterTest.java,MAJOR,74,74,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,e5193b92ed7308a7bda0369e32dc530e,CODE_SMELL,squid:S1149,testi:src/test/java/org/apache/commons/cli/HelpFormatterTest.java,MAJOR,89,89,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,e5193b92ed7308a7bda0369e32dc530e,CODE_SMELL,squid:S1149,testi:src/test/java/org/apache/commons/cli/HelpFormatterTest.java,MAJOR,104,104,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:37:32+0000,e5193b92ed7308a7bda0369e32dc530e,CODE_SMELL,squid:S1149,testi:src/test/java/org/apache/commons/cli/HelpFormatterTest.java,MAJOR,121,121,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
